2025-07-05 12:52:13,380 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 58 apps in cache
2025-07-05 12:52:13,381 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/gnome/applications/vim.desktop": constructor returned NULL
2025-07-05 12:52:13,384 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.rayvega96.ulauncher-amazon-search" started. PID 31305
2025-07-05 12:52:13,384 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.dankni95.ulauncher-playerctl" started. PID 31306
2025-07-05 12:52:13,389 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.ubuntupunk.ulauncher-vim" started. PID 31308
2025-07-05 12:52:13,397 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.mepowerleo10.ulauncher-dict-en" started. PID 31311
2025-07-05 12:52:13,405 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.glovecc.ulauncher-github-search" started. PID 31313
2025-07-05 12:52:13,441 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.ygun.ulauncher-nm" started. PID 31319
2025-07-05 12:52:13,448 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 73 apps in the system
2025-07-05 12:52:13,448 | INFO | ulauncher.search.apps.app_watcher: start() | Scanned desktop dirs in 0.08 seconds
2025-07-05 12:52:13,451 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.rmassidda.ulauncher-firefox-history" started. PID 31326
2025-07-05 12:52:13,455 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.fajtak.ulauncher-weather" started. PID 31329
2025-07-05 12:52:13,457 | DEBUG | ulauncher.search.apps.app_watcher: start() | Start watching desktop files...
2025-07-05 12:52:13,462 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.hillaryychan.ulauncher-fzf" started. PID 31334
2025-07-05 12:52:13,465 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.brpaz.ulauncher-file-search" started. PID 31335
2025-07-05 12:52:13,477 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.luispabon.ulauncher-virtualbox" started. PID 31337
2025-07-05 12:52:13,489 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.dhelmr.ulauncher-tldr" started. PID 31340
2025-07-05 12:52:13,497 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.nastuzzisamy.ulauncher-youtube-search" started. PID 31341
2025-07-05 12:52:13,505 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.doekeb.ulauncher-gnome-calculator" started. PID 31343
2025-07-05 12:52:13,519 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.ulauncher.ulauncher-hash" started. PID 31345
2025-07-05 12:52:13,522 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.manahter.ulauncher-ip-analysis" started. PID 31349
2025-07-05 12:52:13,527 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.ultiblog.ulauncher-password-generator" started. PID 31351
2025-07-05 12:52:13,541 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.gbarre.ulauncher-terminator" started. PID 31352
2025-07-05 12:52:13,561 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.iboyperson.ulauncher-system" started. PID 31354
2025-07-05 12:52:13,589 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.tchar.ulauncher-albert-calculate-anything" started. PID 31361
2025-07-05 12:52:13,593 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.atorresg.appimagelauncher" started. PID 31356
2025-07-05 12:52:13,605 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.sebw.ulauncher-tplink-home-manager" started. PID 31362
2025-07-05 12:52:13,633 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.kazumasan.ulauncher-sessions" started. PID 31364
2025-07-05 12:52:13,639 | INFO | ulauncher.ui.windows.UlauncherWindow: bind_show_app_hotkey() | Trying to bind app hotkey: <Alt>space
2025-07-05 12:52:13,650 | INFO | ulauncher.api.server.ExtensionDownloader: download_missing() | Downloading missing extension com.github.brpaz.ulauncher-mitmproxy
2025-07-05 12:52:13,873 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.ygun.ulauncher-nm" connected
2025-07-05 12:52:13,873 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.ygun.ulauncher-nm"
2025-07-05 12:52:13,888 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.gbarre.ulauncher-terminator" connected
2025-07-05 12:52:13,889 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.gbarre.ulauncher-terminator"
2025-07-05 12:52:13,914 | ERROR | ulauncher.api.server.ExtensionDownloader: download_missing() | GithubExtensionError: Could not find versions.json file using URL "https://raw.githubusercontent.com/brpaz/ulauncher-mitmproxy/HEAD/versions.json"
2025-07-05 12:52:13,915 | INFO | ulauncher.api.server.ExtensionDownloader: download_missing() | Downloading missing extension com.github.ruudjelinssen.ulauncher-imdb
2025-07-05 12:52:13,924 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.rmassidda.ulauncher-firefox-history" connected
2025-07-05 12:52:13,924 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.rmassidda.ulauncher-firefox-history"
2025-07-05 12:52:13,967 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.doekeb.ulauncher-gnome-calculator" connected
2025-07-05 12:52:13,968 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.doekeb.ulauncher-gnome-calculator"
2025-07-05 12:52:13,973 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.brpaz.ulauncher-file-search" connected
2025-07-05 12:52:13,973 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.brpaz.ulauncher-file-search"
2025-07-05 12:52:14,036 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.ultiblog.ulauncher-password-generator" connected
2025-07-05 12:52:14,037 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.ultiblog.ulauncher-password-generator"
2025-07-05 12:52:14,133 | ERROR | ulauncher.api.server.ExtensionDownloader: download_missing() | GithubExtensionError: Could not find versions.json file using URL "https://raw.githubusercontent.com/ruudjelinssen/ulauncher-imdb/HEAD/versions.json"
2025-07-05 12:52:14,197 | ERROR | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.tchar.ulauncher-albert-calculate-anything" was terminated with code 1
2025-07-05 12:52:14,205 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.fajtak.ulauncher-weather" connected
2025-07-05 12:52:14,205 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.fajtak.ulauncher-weather"
2025-07-05 12:52:14,226 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.sebw.ulauncher-tplink-home-manager" connected
2025-07-05 12:52:14,226 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.sebw.ulauncher-tplink-home-manager"
2025-07-05 12:52:14,233 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.ubuntupunk.ulauncher-vim" connected
2025-07-05 12:52:14,233 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.ubuntupunk.ulauncher-vim"
2025-07-05 12:52:14,234 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.dankni95.ulauncher-playerctl" connected
2025-07-05 12:52:14,234 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.dankni95.ulauncher-playerctl"
2025-07-05 12:52:14,242 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.hillaryychan.ulauncher-fzf" connected
2025-07-05 12:52:14,242 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.hillaryychan.ulauncher-fzf"
2025-07-05 12:52:14,330 | ERROR | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.rayvega96.ulauncher-amazon-search" was terminated with code 1
